title,type,agency_names,abstract,document_number,html_url,pdf_url,publication_date
"Utility Scale Wind Towers From Canada, Indonesia, the Republic of Korea, and the Socialist Republic of Vietnam: Antidumping Duty Orders",Notice,Commerce Department; International Trade Administration,"Based on affirmative final determinations by the Department of Commerce (Commerce) and the International Trade Commission (ITC), Commerce is issuing antidumping duty (AD) orders on utility scale wind towers (wind towers) from Canada, Indonesia, the Republic of Korea (Korea), and the Socialist Republic of Vietnam (Vietnam).", 2020-18792,https://www.federalregister.gov/documents/2020/08/26/2020-18792/utility-scale-wind-towers-from-canada-indonesia-the-republic-of-korea-and-the-socialist-republic-of,https://www.govinfo.gov/content/pkg/FR-2020-08-26/pdf/2020-18792.pdf,08/26/2020
"Utility Scale Wind Towers From Canada, Indonesia, and the Socialist Republic of Vietnam: Amended Final Affirmative Countervailing Duty Determination and Countervailing Duty Orders",Notice,Commerce Department; International Trade Administration,"Based on affirmative final determinations by the Department of Commerce (Commerce) and the International Trade Commission (ITC), Commerce is issuing countervailing duty orders on utility scale wind towers (wind towers) from Canada, Indonesia, and the Socialist Republic of Vietnam (Vietnam). In addition, Commerce is amending its final determination with respect to wind towers from Canada to correct ministerial errors.", 2020-18793,https://www.federalregister.gov/documents/2020/08/26/2020-18793/utility-scale-wind-towers-from-canada-indonesia-and-the-socialist-republic-of-vietnam-amended-final,https://www.govinfo.gov/content/pkg/FR-2020-08-26/pdf/2020-18793.pdf,08/26/2020
Certain Chassis and Subassemblies Thereof From the People's Republic of China: Initiation of Less-Than-Fair-Value Investigation,Notice,Commerce Department; International Trade Administration,"", 2020-18713,https://www.federalregister.gov/documents/2020/08/26/2020-18713/certain-chassis-and-subassemblies-thereof-from-the-peoples-republic-of-china-initiation-of,https://www.govinfo.gov/content/pkg/FR-2020-08-26/pdf/2020-18713.pdf,08/26/2020
Certain Chassis and Subassemblies Thereof From the People's Republic of China: Initiation of Countervailing Duty Investigation,Notice,Commerce Department; International Trade Administration,"", 2020-18712,https://www.federalregister.gov/documents/2020/08/26/2020-18712/certain-chassis-and-subassemblies-thereof-from-the-peoples-republic-of-china-initiation-of,https://www.govinfo.gov/content/pkg/FR-2020-08-26/pdf/2020-18712.pdf,08/26/2020
Notice of Determinations Regarding Eligibility To Apply for Trade Adjustment Assistance,Notice,Labor Department; Employment and Training Administration,"", 2020-18662,https://www.federalregister.gov/documents/2020/08/25/2020-18662/notice-of-determinations-regarding-eligibility-to-apply-for-trade-adjustment-assistance,https://www.govinfo.gov/content/pkg/FR-2020-08-25/pdf/2020-18662.pdf,08/25/2020
"Methionine From France, Japan, and Spain: Initiation of Less-Than-Fair-Value Investigations",Notice,Commerce Department; International Trade Administration,"", 2020-18592,https://www.federalregister.gov/documents/2020/08/25/2020-18592/methionine-from-france-japan-and-spain-initiation-of-less-than-fair-value-investigations,https://www.govinfo.gov/content/pkg/FR-2020-08-25/pdf/2020-18592.pdf,08/25/2020
Investigations Regarding Eligibility To Apply for Worker Adjustment Assistance,Notice,Labor Department; Employment and Training Administration,"", 2020-18663,https://www.federalregister.gov/documents/2020/08/25/2020-18663/investigations-regarding-eligibility-to-apply-for-worker-adjustment-assistance,https://www.govinfo.gov/content/pkg/FR-2020-08-25/pdf/2020-18663.pdf,08/25/2020
"Fluid End Blocks From China, Germany, India, and Italy; Scheduling of the Final Phase of Countervailing Duty and Anti-Dumping Duty Investigations",Notice,International Trade Commission,"The Commission hereby gives notice of the scheduling of the final phase of antidumping and countervailing duty investigation Nos. 701-TA-632-635 and 731-TA-1466-1468 (Final) pursuant to the Tariff Act of 1930 (``the Act'') to determine whether an industry in the United States is materially injured or threatened with material injury, or the establishment of an industry in the United States is materially retarded, by reason of imports of fluid end blocks from China, Germany, India, and Italy, provided for in subheadings 7218.91.00, 7218.99.00, 7224.90.00, 7326.19.00, 7326.90.86, and 8413.91.90 of the Harmonized Tariff Schedule of the United States. The Department of Commerce (``Commerce'') has preliminarily determined imports of fluid end blocks from China, Germany, India, and Italy to be subsidized and imports of fluid end blocks from Germany and Italy to be sold at less-than-fair- value. In addition, Commerce has made a preliminary negative determination of sales at less-than-fair value in the antidumping duty investigation of fluid end blocks from India.", 2020-18443,https://www.federalregister.gov/documents/2020/08/24/2020-18443/fluid-end-blocks-from-china-germany-india-and-italy-scheduling-of-the-final-phase-of-countervailing,https://www.govinfo.gov/content/pkg/FR-2020-08-24/pdf/2020-18443.pdf,08/24/2020
"Welded Carbon Steel Standard Pipe and Tube Products From Turkey: Notice of Court Decision Not in Harmony With Amended Final Results of Review; Amended Final Results of Administrative Review of the Antidumping Duty Order on Welded Carbon Steel Standard Pipe and Tube Products From the Republic of Turkey, 2014-2015",Notice,Commerce Department; International Trade Administration,"On July 28, 2020, the U.S. Court of International Trade (CIT) sustained the Department of Commerce (Commerce)'s third remand redetermination pertaining to the administrative review of welded carbon steel standard pipe and tube products (welded pipe and tube) from the Republic of Turkey (Turkey) covering the period of review (POR) May 1, 2014 through April 30, 2015. Commerce is notifying the public that the CIT's final judgment is not in harmony with the amended final results of the administrative review, and that Commerce is amending the weighted-average dumping margin for Toscelik Profil ve Sac Endustrisi A.S. (Toscelik).", 2020-18384,https://www.federalregister.gov/documents/2020/08/21/2020-18384/welded-carbon-steel-standard-pipe-and-tube-products-from-turkey-notice-of-court-decision-not-in,https://www.govinfo.gov/content/pkg/FR-2020-08-21/pdf/2020-18384.pdf,08/21/2020
Standard Steel Welded Wire Mesh From Mexico,Notice,International Trade Commission,"", 2020-18212,https://www.federalregister.gov/documents/2020/08/20/2020-18212/standard-steel-welded-wire-mesh-from-mexico,https://www.govinfo.gov/content/pkg/FR-2020-08-20/pdf/2020-18212.pdf,08/20/2020
Ferrovanadium From the Republic of South Africa and the People's Republic of China: Continuation of Antidumping Duty Orders,Notice,Commerce Department; International Trade Administration,"As a result of the determinations by the Department of Commerce (Commerce) and the International Trade Commission (ITC) that revocation of the antidumping duty (AD) orders on ferrovanadium from the Republic of South Africa (South Africa) and the People's Republic of China (China) would likely lead to continuation or recurrence of dumping and material injury to an industry in the United States, Commerce is publishing a notice of continuation of these AD orders.", 2020-18287,https://www.federalregister.gov/documents/2020/08/20/2020-18287/ferrovanadium-from-the-republic-of-south-africa-and-the-peoples-republic-of-china-continuation-of,https://www.govinfo.gov/content/pkg/FR-2020-08-20/pdf/2020-18287.pdf,08/20/2020
Temporary Changes to Requirements Affecting H-2A Nonimmigrants Due To the COVID-19 National Emergency: Partial Extension of Certain Flexibilities,Rule,Homeland Security Department,"As a result of continued disruptions and uncertainty to the U.S. food agriculture sector during the summer and upcoming fall agricultural season caused by the global novel Coronavirus Disease 2019 (COVID-19) public health emergency, the Department of Homeland Security, U.S. Citizenship and Immigration Services, has decided it is necessary to temporarily extend the amendments to certain regulations regarding temporary and seasonal agricultural workers, and their U.S. employers, within the H-2A nonimmigrant classification. Through this temporary final rule DHS is partially extending some of the provisions of the April 20, 2020, temporary final rule. Namely, the Department will continue to allow H- 2A employees whose extension of stay H-2A petitions are supported by valid temporary labor certifications issued by the Department of Labor to begin work with a new employer immediately after the extension of stay petition is received by USCIS. DHS will apply this temporary final rule to H-2A petitions requesting an extension of stay, if they were received on or after August 19, 2020, but no later than December 17, 2020. The temporary extension of these flexibilities will ensure that agricultural employers have access to the orderly and timely flow of legal foreign workers, thereby protecting the integrity of the nation's food supply chain and decreasing possible reliance on unauthorized aliens, while at the same time encouraging agricultural employers' use of the H-2A program, which protects the rights of U.S. and foreign workers.", 2020-18283,https://www.federalregister.gov/documents/2020/08/20/2020-18283/temporary-changes-to-requirements-affecting-h-2a-nonimmigrants-due-to-the-covid-19-national,https://www.govinfo.gov/content/pkg/FR-2020-08-20/pdf/2020-18283.pdf,08/20/2020
